,Date,Open,High,Low,Close,Volume,OpenInt,Product
9895,2016-07-28,227.95,230.76,226.6,230.61,2131840,1,Merchandising
9896,2016-07-29,230.7,235.28,230.24,234.79,2908610,0,Electric Car
9897,2016-08-01,235.5,236.63,229.38,230.01,3790147,0,Merchandising
9898,2016-08-02,229.37,229.87,221.4,227.2,3599106,0,Merchandising
9899,2016-08-03,227.37,229699,224.21,225.58,2730615,1,House-Powering Battery
9900,2016-08-04,225.69,230.86,222.05,230.61,3448697,1,House-Powering Battery
9901,2016-08-05,230.0,232.0,227.4,230.03,2538457,1,Merchandising
9902,2016-08-08,228.0,229.6,226.09,226.16,1797782,1,House-Powering Battery
9903,2016-08-09,226.82,231538,226.65,229.08,1734218,0,House-Powering Battery
9904,2016-08-10,228.24,229.87,224.62,225.65,1859500,1,Electric Car
9905,2016-08-11,226.17,227.57,223.41,224.91,1638993,0,Electric Car
9906,2016-08-12,225.41,226.65,224.04,225.61,1480909,0,House-Powering Battery
9907,2016-08-15,226.02,229.5,224.93,225.59,1657280,1,House-Powering Battery
9908,2016-08-16,225.49,227.19,223.41,223.61,1702132,1,House-Powering Battery
9909,2016-08-17,224.33,224.83,222.8,223.24,1435311,0,House-Powering Battery
9910,2016-08-18,223.82,225.66,222.29,223.51,1645768,0,Merchandising
9911,2016-08-19,223.54,225169,222.53,225.0,1266596,0,House-Powering Battery
9912,2016-08-22,224.17,225.11,222.68,222.93,1727526,0,Electric Car
9913,2016-08-23,224.32,228.49,222.8,224.84,4115106,0,House-Powering Battery
9914,2016-08-24,227.05,227.15,222.22,222.62,2056602,0,Merchandising
9915,2016-08-25,223.11,223.8,220.77,220.96,1580160,1,Merchandising
9916,2016-08-26,222.14,222855,218.82,219.99,1871069,0,Electric Car
9917,2016-08-29,220.15,220.4,215.0,215.2,2766023,1,Electric Car
9918,2016-08-30,216.11,216.11,210.52,211.34,2619588,1,Electric Car
9919,2016-08-31,210.43,212.6,208.65,212.01,3016827,1,Electric Car
9920,2016-09-01,209.01,211.1,200.5,200.77,6765259,1,Merchandising
9921,2016-09-02,202.33,203.2,196.2,197.78,5368761,0,Electric Car
9922,2016-09-06,199.02,203.25,199.0,202.82,4220936,0,Merchandising
9923,2016-09-07,205.5,206497,200.71,201.7,2660978,0,House-Powering Battery
9924,2016-09-08,199.55,199.89,196.36,197.36,3140593,1,Merchandising
9925,2016-09-09,199.09,199.92,193.7,194.47,3103198,0,Merchandising
9926,2016-09-12,195.0,201.36900000000003,194.1,198.3,3045470,1,House-Powering Battery
9927,2016-09-13,197.06,198.49,193.45,196.05,2947851,0,Merchandising
9928,2016-09-14,195.75,197925,194856,196.41,1750864,0,Merchandising
9929,2016-09-15,196.49,202519,196.4,200.22,2192932,0,Electric Car
9930,2016-09-16,200.42,205.7,199.0,205.4,2418090,0,Merchandising
9931,2016-09-19,207.0,209.43,205.0,206.34,1895855,1,House-Powering Battery
9932,2016-09-20,206.85,207.75,203.91,204.64,1657410,1,Electric Car
9933,2016-09-21,206.37,207.0,201.56,205.22,2086336,1,Electric Car
9934,2016-09-22,206.4,207.28,203.0,206.43,2334870,0,Merchandising
9935,2016-09-23,205.99,210.18,205.67,207.45,2688442,0,House-Powering Battery
9936,2016-09-26,206.5,211.0,206.5,208.99,2301225,0,Merchandising
9937,2016-09-27,209.65,209982,204609,205.81,2517231,1,Electric Car
9938,2016-09-28,207.51,208.25,205.26,206.27,1369885,0,House-Powering Battery
9939,2016-09-29,205.6,207.33,200.58,200.7,2333099,1,Electric Car
9940,2016-09-30,202.21,204.98,199.55,204.03,2455082,0,House-Powering Battery
9941,2016-10-03,212.3,215669,208.25,213.7,5321524,1,House-Powering Battery
9942,2016-10-04,213.1,213.32,208.82,211.41,3036625,0,Electric Car
9943,2016-10-05,212.24,213.15,208.12,208.46,1580397,0,Merchandising
9944,2016-10-06,202.46,204.21,200.21,201.0,4506877,1,House-Powering Battery
9945,2016-10-07,201.0,201.32,195.8,196.61,2944927,1,Merchandising
9946,2016-10-10,201.35,204.14,199.66,200.95,2894705,1,Merchandising
9947,2016-10-11,201.85,202.2,198.31,200.1,2237785,1,Electric Car
9948,2016-10-12,200.95,203.88,200.42,201.51,1671211,1,Merchandising
9949,2016-10-13,200.5,200895,197.05,200.24,2209150,0,House-Powering Battery
9950,2016-10-14,200.66,201.43,196.3,196.51,3194201,0,Merchandising
9951,2016-10-17,197.05,198.39,192.0,193.96,3888796,0,House-Powering Battery
9952,2016-10-18,195.99,199.47,193.26,199.1,4921260,0,Merchandising
9953,2016-10-19,199.74,206.66,198.06,203.56,5640708,1,Merchandising
9954,2016-10-20,202.12,203.0,197.05,199.1,4329868,1,Electric Car
9955,2016-10-21,198.6,201.57,197.41,200.09,2205166,1,House-Powering Battery
9956,2016-10-24,201.0,203945,200.25,202.76,2663942,1,Electric Car
9957,2016-10-25,202.9,204.69,201.2,202.34,2181229,1,Merchandising
9958,2016-10-26,201.0,203.19,200.1,202.24,3201936,0,House-Powering Battery
9959,2016-10-27,211.34,213.7,201.65,204.01,12785602,0,Electric Car
9960,2016-10-28,204.0,205.32,199.83,199.97,4202047,1,House-Powering Battery
9961,2016-10-31,202.49,202.49,195.81,197.73,4692273,0,House-Powering Battery
9962,2016-11-01,198.04,198.5,188105,190.79,7060036,1,Electric Car
9963,2016-11-02,190.05,192695,187505,188.02,4253382,0,House-Powering Battery
9964,2016-11-03,189.0,191.47,187.04,187.42,2653023,1,House-Powering Battery
9965,2016-11-04,189.0,193.46,185.96,190.56,5146043,0,Merchandising
9966,2016-11-07,193.59,194.29,190.05,193.21,3781927,0,Electric Car
9967,2016-11-08,193.79,197.49,191.26,194.94,3170981,1,Electric Car
9968,2016-11-09,186875,192.0,183.95,190.06,8131514,1,Electric Car
9969,2016-11-10,191.05,191.61,180.42,185.35,6662170,0,Merchandising
9970,2016-11-11,184.24,188.88,183.0,188.56,3902576,1,House-Powering Battery
9971,2016-11-14,188.0,188.25,178.19,181.45,6552205,1,Electric Car
9972,2016-11-15,182.78,186.43,182.05,183.77,3902018,0,House-Powering Battery
9973,2016-11-16,182.65,184.73,181.21,183.93,3405210,0,House-Powering Battery
9974,2016-11-17,183.49,189.49,182.11,188.66,4521052,1,Merchandising
9975,2016-11-18,190.65,193.0,185.0,185.02,5180275,0,Electric Car
9976,2016-11-21,185.04,188.89,184.41,184.7,4329418,1,Merchandising
9977,2016-11-22,185.84,191.47,183.71,191.17,5567401,0,House-Powering Battery
9978,2016-11-23,190.61,195644,189.0,193.14,4681343,1,Merchandising
9979,2016-11-25,193.64,197237,193.64,196.65,2322216,1,House-Powering Battery
9980,2016-11-28,195.48,199.35,194.55,196.12,4399315,1,Electric Car
9981,2016-11-29,195.56,196.73,189.5,189.57,4327215,0,Merchandising
9982,2016-11-30,191.0,191.89,187.5,189.4,3433565,0,Merchandising
9983,2016-12-01,188.25,188.53,181.0,181.88,4984959,0,Electric Car
9984,2016-12-02,182.88,184.88,180.0,181.47,3961543,0,Electric Car
9985,2016-12-05,182.51,188.89,182.51,186.8,3928750,1,Merchandising
9986,2016-12-06,185.52,186.58,182683,185.85,3350536,1,House-Powering Battery
9987,2016-12-07,186.15,193.4,185.0,193.14,5312421,1,House-Powering Battery
9988,2016-12-08,192.05,192.5,189.54,192.29,3108464,0,House-Powering Battery
9989,2016-12-09,190.87,193836,190.81,192.18,2692753,0,Merchandising
9990,2016-12-12,192.8,194.42,191.04,192.43,2404013,1,Electric Car
9991,2016-12-13,193.18,201.28,193.0,198.15,6647682,1,Merchandising
9992,2016-12-14,198.74,203.0,196.76,198.69,4126524,1,Electric Car
9993,2016-12-15,198.41,200.74,197.39,197.58,3156620,0,Merchandising
9994,2016-12-16,198.08,202.59,197.6,202.49,3645735,0,Merchandising
9995,2016-12-19,202.49,204.45,199.84,202.73,3403226,0,Merchandising
9996,2016-12-20,203.05,209.0,202.5,208.79,4621849,1,Merchandising
9997,2016-12-21,208.45,212.23,207.41,207.7,5089610,0,House-Powering Battery
9998,2016-12-22,208.22,209.99,206.5,208.45,3030425,0,Merchandising
9999,2016-12-23,208.0,213.45,207.71,213.34,4282248,1,Electric Car
10000,2016-12-27,214.88,222.25,214.42,219.53,5688417,0,House-Powering Battery
10001,2016-12-28,221.53,223.8,217.2,219.74,3685700,0,House-Powering Battery
10002,2016-12-29,218.56,219.2,214123,214.65,3947186,1,Electric Car
10003,2016-12-30,216.3,217.5,211.68,213.69,4642620,1,Merchandising
10004,2017-01-03,214.86,220.33,210.96,216.99,5529103,1,House-Powering Battery
10005,2017-01-04,214.75,228.0,214.31,226.99,11125409,1,Electric Car
10006,2017-01-05,226.42,227.48,221.95,226.75,5855477,0,House-Powering Battery
10007,2017-01-06,226.93,230.31,225.45,229.01,5464390,0,Merchandising
10008,2017-01-09,228.97,231.92,228.0,231.28,3912905,1,Merchandising
10009,2017-01-10,232.0,232.0,226.89,229.87,3596489,1,House-Powering Battery
